Source,Target,Type,Id,Label,timeset,Weight
50e9b6119a7c3b917c55ab549085d844,a076ae1694ca9b2efa9de8b64337cd4d,Undirected,0,,,1
81312719736df32e2527f3c1da30e72b,5fe56bddc0a07bad9114b47e2a8f1749,Undirected,1,,,1
aa4c9e6bd95fc128e2b67a7c2140fc13,3858c05d45d8cee6b83be5dcf1b6fa7e,Undirected,2,,,1
503cac05a12970a9a3a1be0f3b06c631,6d58fa09e88f15452fa9133a8d09e73c,Undirected,3,,,1
89668e1051f50aac9014e8812caecb6a,792c196093158582b2f4018c471a2122,Undirected,4,,,1
7901b8c1b9bc510fd54bec8a2ea5f1bc,2c28df11ad4cf923abaa8e3e5c87e4e7,Undirected,5,,,1
c253fc0b84ca81b1a06db507c795e0e4,6692f8698726d989c9d62db50eb89edd,Undirected,6,,,1
6bdb0807dac96efb7ff05a7352ecbff0,aefed463b29659030bda55ec9a822b42,Undirected,7,,,1
b0e2f6f9233446e324fec69d58204bcf,c04031b7ee2468febd9b5e1cb08f0b51,Undirected,8,,,1
b5b8e5b4962f58360cb8efe6259b8c45,87c2f86ebe4035fe4ce390ec84727ab2,Undirected,9,,,1
1ce7a301924275c2c48061069e5f083f,6b11aef774aa490eaf1d9206f2b5c32e,Undirected,10,,,1
8258c9ac0b8e2657177d178e4a1bccbb,a0e32cac6d55845325d5b07c88dbea2a,Undirected,11,,,1
015e56e391e3625614272a0e79b02ff8,3fd983f453d7b817bd77e2535b3314df,Undirected,12,,,1
d19902e353967ee3a2dfd5714a3c5d3f,37985e2b22e0d52e39436761df51b6f7,Undirected,13,,,1
295b56242664d277605a310194edb633,c07f75d997f581df9740d8c2ea652c9f,Undirected,14,,,1
b40066c154dd8f03e517fd35e9cd0520,31e750e49f5ad6d6fbb769c8f3a5f0c3,Undirected,15,,,1
f79819d8092a239faf3988f21e172159,12237a549f55de2bb4282021fab93c17,Undirected,16,,,1
2985550672a50c0670762bf81361eb1d,3401874d22456c2bfefb111a61290fce,Undirected,17,,,1
4acfa278647f4f05904babeeac0857a7,40a1569ffd8f730b83b53533c2203e8d,Undirected,18,,,1
5e9baca3e71dfd3faefca822aa6913b7,60102f99738244b6da730c6aba5030f3,Undirected,19,,,1
b510c50841e85e93349c71117b74f778,fc2a5c360336a3a497ae690d7c3f7d5a,Undirected,20,,,1
3d4603f72de804810b64af7ade2cf92c,1af2045427bf8ee73f4fde63b1668999,Undirected,21,,,1
c1a5f36b78f5b6887c79f5c05249f75d,92879ea0b65d68c87cfc4bd23e9a50fd,Undirected,22,,,1
3aab75d242188ccba3496c81f5345fb1,1765364567d1b526bfb46799133b1af5,Undirected,23,,,1
97ce540153997d3419f1cd767978d7e4,9bc92bb3e26cd50d8d505a778bcfd599,Undirected,24,,,1
3005984c20fd4f5eea59635fab013be5,5c979f4038ecb3268930648eddf91e88,Undirected,25,,,1
86327e341d9bc917fb0e2321ad7881fd,6e5d6f5da3810eb9eff4c22f965a30ad,Undirected,26,,,1
56987ca64f9d8f88764be7a6f163937a,ab71bdc854fa4e87dac25f559b026f1e,Undirected,27,,,1
96020488766fd14acab6fc29012f6fbb,c4fe2aabf16e4c8f922c14f0ce9245d1,Undirected,28,,,1
341f5dec5b59d3307968d47dbb746fa4,35f579a97a44d2b74b7263552cd00124,Undirected,29,,,1
5c9339d9cf3444efbcc5bdccdb7cf4fc,82b9bf942970bfc1ec67d1fd0bbdaf51,Undirected,30,,,1
8a4a9c341b51a496879d1c54a0cac53a,049bbcbb4c074eede7a2b41766310551,Undirected,31,,,1
52a21e3bff135eb8ffa4ba6fb821f09d,e8f2cc7532a1d5d14b4d5671768d6c16,Undirected,32,,,1
179f50f2b634247036d3cc1676ff1bc3,228bb57dc3b972c76db21a9e0095e49e,Undirected,33,,,1
2a129447cb7bff6dfacfb1fc72414b82,a5504305f5248e4615840a98dc962da6,Undirected,34,,,1
ffb9b162ad9b275730521df721afdf11,f8cbf140703395d97352d39e8a5ff217,Undirected,35,,,1
ca9945b0fedd258b0709728514fafca1,f0678c15eb8be31d1debe2955fe8fdd2,Undirected,36,,,1
4553d9088ce2cc68e333f041fe48ad29,c04610a1745cc7c1ca33a1dfb978c2f3,Undirected,37,,,1
2750c56da6b5b91ef6910f20b993b76e,0928ee5ed7e8ac863f3403f998987ecd,Undirected,38,,,1
69e8ecbf6a36b6af9255b0e8f8ea13c5,d32700d445efbe5b094c4fc523b6ac75,Undirected,39,,,1
4eac0d75ce3d20ff5423f4512e05197b,356d32240ef3649fa9bddc69f85446e6,Undirected,40,,,1
c8bb60366bc73c29037c6e409e3b28b8,cddc9d328e66ab0043760ebfe0f7395a,Undirected,41,,,1
c5b74227bc6e1eb4a474f49d2aa5a875,07949dbdbaa97498dfa6998ab74ed051,Undirected,42,,,1
9a0c571054d977083acd4ba347620816,5680a936a46d029b60e84f03ee4c7a96,Undirected,43,,,1
5a243aa5917ba719783fd2aa892768da,e4b2e23b31ff30752385e84c5eca9386,Undirected,44,,,1
2726b0873b1d0a4d062616adb5ce882f,7ae93e5eea9bd79a8daf0feaab247805,Undirected,45,,,1
4478ba998de2b3f92b8b896188e79368,cf73f9d55b04f541c7616420e50395f5,Undirected,46,,,1
6ae2e66b3dfaca6bb6d02e5717dd42c2,792c196093158582b2f4018c471a2122,Undirected,47,,,1
98fcf8ec93160396d8ba58f8bdb457b3,da1664214278dfd11f070c1e80f538aa,Undirected,48,,,1
793edfe9a8abfe1649a2fe30f4bd0479,6d58fa09e88f15452fa9133a8d09e73c,Undirected,49,,,1
77517b2759dec171b5da99924a926140,6b11aef774aa490eaf1d9206f2b5c32e,Undirected,50,,,1
8b0dc60ebaa6a91657f26025745a19b1,c04031b7ee2468febd9b5e1cb08f0b51,Undirected,51,,,1
e8c17ed123cf50b4effa6f3f63d14bf2,3fd983f453d7b817bd77e2535b3314df,Undirected,52,,,1
83de5690a87f2acd4312228552605bf5,aefed463b29659030bda55ec9a822b42,Undirected,53,,,1
da7f052d8f837c327c3b2f79ac71d71f,87c2f86ebe4035fe4ce390ec84727ab2,Undirected,54,,,1
63b82cbb1e4b6d82ffe7a8c6ee7c3524,0113430b0f045de18a60ab2135c747e0,Undirected,55,,,1
570e8d6d0b99dcbf624a474c651420af,6692f8698726d989c9d62db50eb89edd,Undirected,56,,,1
2116a00cd95545d6da6acd17144d9974,ae158ac0197851dbe5476c597f636d21,Undirected,57,,,1
47aad5e4fd388041033708ee44219b08,0113430b0f045de18a60ab2135c747e0,Undirected,58,,,1
056ff478ec7664f194902b55e3d515bd,434148d456a29663118e86b0e64f9fcf,Undirected,59,,,1
947fc73699f2508de7a4f666799adf5d,0113430b0f045de18a60ab2135c747e0,Undirected,60,,,1
b17cfcb9bc842ee25fca6eafe8dda102,0113430b0f045de18a60ab2135c747e0,Undirected,61,,,1
